Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
6,2430,3,4,310,935,310,0,103.333336,178.97858,935,0,233.75,467.5,512345.7,2880.6584,405.0,558.2028,1374,3.0,1642,821.0,782.0601,1374,268,2427,809.0,818.42834,1649,14.0,0,0,0,0,72,92,1234.5679,1646.0906,0,935,155.625,333.07483,110938.836,0,0,1,1,0,0,0,1,1,177.85715,103.333336,233.75,0,0,0,0,0,0,3,310,4,935,65535,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
6,786722,5,4,20,1017,20,0,4.0,8.944272,976,0,254.25,481.5547,1318.1276,11.439874,98340.25,134321.62,261108,19.0,786722,196680.5,131125.81,265280,19,527007,175669.0,151661.84,265570,566.0,0,0,0,0,168,136,6.355485,5.0843883,0,976,103.7,306.7971,94124.45,0,0,0,1,0,0,0,0,0,115.22222,4.0,254.25,0,0,0,0,0,0,5,20,4,1017,27200,210,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,11675,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,171.30621,11675.0,0.0,11675,11675.0,11675,11675.0,0.0,11675,11675,0,0.0,0.0,0,0.0,0,0,0,0,40,0,171.30621,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
17,104004036,16,0,512,0,32,32,32.0,0.0,0,0,0.0,0.0,4.922886,0.15384018,6933602.5,6217365.5,23000000,983997.0,104000000,6933602.5,6217365.5,23000000,983997,0,0.0,0.0,0,0.0,0,0,0,0,128,0,0.15384018,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0,34.0,32.0,0.0,0,0,0,0,0,0,16,512,0,0,-1,-1,15,8,4972194.0,3005945.8,8000023,1988620,11100000.0,5711097.0,23000000,5003325,Benign
17,118989406,7,0,224,0,32,32,32.0,0.0,0,0,0.0,0.0,1.8825206,0.058828767,19800000.0,14700000.0,41000000,999404.0,119000000,19800000.0,14700000.0,41000000,999404,0,0.0,0.0,0,0.0,0,0,0,0,56,0,0.058828767,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0,36.57143,32.0,0.0,0,0,0,0,0,0,7,224,0,0,-1,-1,6,8,999404.0,0.0,999404,999404,23600000.0,12800000.0,41000000,9956113,Benign
6,14111,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,141.7334,14111.0,0.0,14111,14111.0,14111,14111.0,0.0,14111,14111,0,0.0,0.0,0,0.0,0,0,0,0,40,0,141.7334,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
6,15285,3,4,316,935,316,0,105.333336,182.44269,935,0,233.75,467.5,81844.945,457.96533,2547.5,5757.679,14288,3.0,14584,7292.0,9893.838,14288,296,15282,5094.0,8225.164,14584,20.0,0,0,0,0,72,92,196.27086,261.69446,0,935,156.375,333.4786,111207.984,0,0,1,1,0,0,0,1,1,178.71428,105.333336,233.75,0,0,0,0,0,0,3,316,4,935,65535,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
6,26385,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,75.800644,26385.0,0.0,26385,26385.0,26385,26385.0,0.0,26385,26385,0,0.0,0.0,0,0.0,0,0,0,0,40,0,75.800644,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
6,12219,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,163.67952,12219.0,0.0,12219,12219.0,12219,12219.0,0.0,12219,12219,0,0.0,0.0,0,0.0,0,0,0,0,40,0,163.67952,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
6,20295,3,4,339,935,339,0,113.0,195.72174,935,0,233.75,467.5,62774.082,344.91254,3382.5,5924.3994,14734,4.0,15077,7538.5,10175.974,14734,343,20288,6762.6665,7647.26,15074,24.0,0,0,0,0,72,92,147.81966,197.09288,0,935,159.25,335.14633,112323.07,0,0,1,1,0,0,0,1,1,182.0,113.0,233.75,0,0,0,0,0,0,3,339,4,935,65535,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
